type,paperless_billing,payment_method,monthly_charges,total_charges,gender,senior_citizen,partner,dependents,p_i_or_b,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,multiple_lines,customer_duration,target
one year,yes,credit card (automatic),23.75,1446.8,male,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,1873.0440189136243,0
two year,no,credit card (automatic),77.35,5550.1,female,0,no,no,both,dsl,yes,yes,yes,yes,yes,no,no,2148.543394178264,0
two year,yes,credit card (automatic),88.55,6306.5,male,1,yes,no,both,dsl,yes,yes,yes,yes,yes,yes,yes,2119.897364164727,0
month-to-month,yes,bank transfer (automatic),58.55,1718.95,female,1,no,no,both,dsl,yes,yes,no,no,no,no,yes,869.8552634530843,0
one year,no,electronic check,99.4,5059.75,male,0,yes,no,both,fiber optic,no,no,no,yes,yes,yes,yes,1508.7812216404207,0
one year,yes,credit card (automatic),108.05,7118.9,female,0,yes,no,both,fiber optic,no,yes,yes,yes,yes,yes,yes,1966.4209941282468,0
month-to-month,no,bank transfer (automatic),66.3,1923.5,female,0,yes,yes,both,dsl,yes,no,no,yes,no,yes,no,901.318269297068,0
month-to-month,yes,electronic check,95.25,1021.55,male,0,no,no,both,fiber optic,no,yes,yes,no,no,yes,yes,292.803971487634,0
month-to-month,yes,electronic check,70.25,70.25,female,0,no,no,both,fiber optic,no,no,no,no,no,no,no,16.763054510639215,0
month-to-month,no,mailed check,24.3,38.45,male,0,no,no,internet,dsl,no,no,no,no,no,no,nan,48.03806232152037,0
month-to-month,no,mailed check,50.75,50.75,male,0,no,no,both,dsl,no,no,no,no,no,no,yes,16.626706376870796,0
one year,no,electronic check,85.55,5084.65,male,0,yes,no,both,fiber optic,no,no,no,no,no,yes,yes,1780.4142850693624,1
one year,no,electronic check,20.0,540.05,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,870.5732737847842,0
two year,no,bank transfer (automatic),19.35,212.3,male,0,no,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,350.4592360129892,0
month-to-month,yes,electronic check,70.65,293.85,male,1,no,no,both,fiber optic,no,no,no,no,no,no,no,108.74846786450072,0
two year,yes,credit card (automatic),19.9,1022.6,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,1479.712290350119,0
month-to-month,no,electronic check,69.95,69.95,male,0,no,no,both,fiber optic,no,no,no,no,no,no,no,17.52550357065307,1
month-to-month,no,credit card (automatic),46.2,46.2,male,0,no,no,both,dsl,no,no,no,no,no,no,no,17.48016817844703,1
two year,yes,bank transfer (automatic),85.4,3297.0,male,0,yes,yes,both,dsl,yes,no,yes,yes,yes,yes,yes,1143.780189165831,0
month-to-month,no,electronic check,84.05,1095.3,male,0,yes,yes,both,fiber optic,yes,no,no,no,no,yes,no,382.6288671061881,1
month-to-month,yes,electronic check,91.45,171.45,male,0,yes,no,both,fiber optic,no,no,yes,no,yes,no,yes,47.97356417555966,0
one year,no,credit card (automatic),59.1,772.85,female,0,no,no,both,dsl,no,no,no,yes,no,yes,no,413.74698098185127,0
month-to-month,yes,mailed check,20.65,654.85,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,869.0953962400105,0
month-to-month,yes,mailed check,75.0,999.45,female,0,no,no,both,fiber optic,no,no,no,no,no,no,yes,382.63421577596597,1
month-to-month,yes,electronic check,24.85,955.75,male,1,yes,no,internet,dsl,no,no,no,no,no,no,nan,1142.7433034817504,0
month-to-month,yes,electronic check,26.05,565.75,male,0,yes,yes,internet,dsl,no,no,no,no,no,no,nan,628.0670069105219,0
two year,no,bank transfer (automatic),26.3,1245.05,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,yes,1447.6271587203034,0
month-to-month,no,electronic check,19.2,37.2,male,1,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,48.52826632698033,0
month-to-month,no,mailed check,20.25,109.8,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,140.49926302705921,0
month-to-month,yes,bank transfer (automatic),104.75,4323.45,female,1,no,no,both,fiber optic,no,yes,yes,no,yes,yes,yes,1263.5399794295236,1
two year,no,electronic check,90.4,6668.05,male,0,yes,yes,both,dsl,yes,yes,yes,yes,yes,yes,yes,2148.5395188912826,0
two year,no,bank transfer (automatic),100.5,7030.65,female,0,yes,yes,both,fiber optic,yes,yes,yes,no,yes,no,yes,2149.495945635621,0
month-to-month,yes,mailed check,20.25,20.25,male,0,no,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,18.73291237090149,0
month-to-month,yes,mailed check,20.05,75.45,male,0,no,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,79.77666417838391,0
two year,no,bank transfer (automatic),25.0,1501.75,male,1,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,1843.881738099611,0
one year,yes,electronic check,20.75,485.2,male,1,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,687.7965826513046,0
one year,no,mailed check,64.85,950.75,male,0,no,yes,both,dsl,yes,no,yes,no,no,yes,no,444.3567557063,0
two year,yes,bank transfer (automatic),109.25,6841.4,female,0,yes,no,both,fiber optic,no,yes,yes,yes,yes,yes,yes,1905.8006387560588,0
month-to-month,no,mailed check,30.55,30.55,female,0,no,no,internet,dsl,no,no,no,yes,no,no,nan,17.214490996005694,0
two year,no,bank transfer (automatic),80.9,4932.5,male,0,yes,no,both,dsl,no,yes,yes,no,yes,yes,yes,1842.1917289350401,0
month-to-month,yes,bank transfer (automatic),113.6,4594.95,female,0,yes,no,both,fiber optic,yes,yes,yes,yes,yes,yes,yes,1234.3112167857219,1
month-to-month,yes,mailed check,49.5,1265.65,female,0,no,yes,both,dsl,no,no,no,no,no,no,yes,778.08648441629,0
month-to-month,yes,electronic check,79.6,79.6,female,0,no,yes,both,fiber optic,no,no,no,no,no,yes,no,16.622255465946115,1
one year,no,electronic check,20.55,1343.4,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,2028.83924734235,0
month-to-month,yes,mailed check,36.45,93.7,male,1,yes,no,internet,dsl,no,no,no,no,yes,no,nan,76.12488043873518,1
two year,no,credit card (automatic),19.5,1050.5,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,1601.5066105582898,0
month-to-month,yes,electronic check,102.6,4009.2,male,1,yes,no,both,fiber optic,no,yes,yes,no,yes,yes,yes,1144.688434018984,0
month-to-month,no,electronic check,68.65,68.65,female,0,no,no,both,fiber optic,no,no,no,no,no,no,no,18.650460726315544,1
month-to-month,yes,bank transfer (automatic),105.45,5916.95,female,0,no,no,both,fiber optic,no,yes,no,yes,yes,yes,yes,1693.9921618261453,0
one year,yes,credit card (automatic),74.3,4698.05,male,0,no,no,both,dsl,yes,yes,no,no,yes,yes,no,1874.4710365570463,0
one year,yes,mailed check,69.55,3435.6,female,0,yes,no,both,dsl,no,no,yes,yes,no,yes,yes,1446.0102964919176,0
one year,no,mailed check,19.5,226.8,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,324.4792260871809,0
two year,yes,credit card (automatic),111.9,8071.05,male,0,yes,no,both,fiber optic,yes,no,yes,yes,yes,yes,yes,2177.8397232026487,0
two year,no,bank transfer (automatic),20.15,777.35,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1204.725546307121,0
one year,yes,credit card (automatic),38.1,970.4,male,0,yes,no,internet,dsl,no,no,yes,no,yes,no,nan,746.9212667760448,0
month-to-month,yes,credit card (automatic),90.85,4515.85,female,1,no,no,both,fiber optic,no,no,yes,no,no,yes,yes,1476.4339088727404,1
one year,yes,mailed check,79.3,2484.0,male,0,yes,no,both,dsl,no,no,yes,yes,yes,yes,yes,932.197762579375,0
one year,yes,electronic check,19.55,1108.8,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1753.7465705417924,0
one year,no,mailed check,50.8,1386.8,male,0,yes,yes,internet,dsl,yes,no,yes,yes,yes,no,nan,839.9793242098909,0
two year,no,bank transfer (automatic),20.15,930.9,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1510.827331808783,0
month-to-month,yes,electronic check,29.4,221.9,male,1,no,no,internet,dsl,no,no,yes,no,no,no,nan,228.44478071859572,1
one year,no,mailed check,19.55,280.85,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,505.14705173866366,0
two year,yes,mailed check,59.6,3739.8,female,0,no,no,both,dsl,yes,yes,no,yes,no,no,no,1965.5415634824908,0
two year,yes,credit card (automatic),116.8,8456.75,female,0,yes,yes,both,fiber optic,yes,yes,yes,yes,yes,yes,yes,2177.3986091864813,0
month-to-month,no,electronic check,19.6,851.2,male,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,1386.14434860285,0
one year,no,electronic check,80.8,3132.75,male,0,yes,no,both,fiber optic,no,yes,yes,no,no,no,no,1204.9299287886233,0
month-to-month,yes,mailed check,45.75,344.2,male,1,no,yes,both,dsl,no,no,no,no,no,no,no,200.5680036008655,0
month-to-month,yes,mailed check,50.8,202.3,male,0,no,no,both,dsl,no,no,no,yes,no,no,no,109.65061200520556,0
month-to-month,yes,bank transfer (automatic),69.8,1540.35,female,0,yes,no,both,fiber optic,no,no,no,no,no,no,no,597.9137728356769,0
month-to-month,yes,electronic check,82.65,1185.0,male,0,yes,no,both,fiber optic,no,yes,yes,no,no,no,yes,414.77107802302896,0
two year,yes,credit card (automatic),89.1,5411.65,male,0,yes,yes,both,fiber optic,no,no,yes,no,yes,no,yes,1875.2252098283498,0
one year,yes,bank transfer (automatic),60.95,4119.4,male,1,yes,no,both,dsl,yes,yes,no,yes,no,no,no,2027.5433523706868,0
month-to-month,yes,electronic check,70.25,70.25,female,0,no,no,both,fiber optic,no,no,no,no,no,no,no,17.402567410010803,1
two year,no,credit card (automatic),20.0,1209.25,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1903.2094286325407,0
month-to-month,yes,credit card (automatic),84.35,1302.65,female,0,no,no,both,fiber optic,yes,no,yes,no,no,no,yes,442.60313559997206,0
one year,no,credit card (automatic),19.6,763.1,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1144.7773806933026,0
month-to-month,yes,electronic check,55.25,1715.65,male,0,no,no,both,dsl,no,no,yes,yes,no,no,no,930.5533660757993,1
one year,no,bank transfer (automatic),103.0,5166.2,female,1,no,no,both,fiber optic,yes,yes,yes,yes,no,yes,yes,1479.8632345628785,0
month-to-month,yes,electronic check,96.85,5219.65,female,1,no,no,both,fiber optic,yes,yes,no,no,no,yes,yes,1693.129627839762,0
month-to-month,no,mailed check,20.05,33.7,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,47.62037919354899,0
two year,no,credit card (automatic),109.7,8129.3,female,0,yes,yes,both,fiber optic,yes,yes,yes,no,yes,yes,yes,2177.4963208652816,0
month-to-month,no,bank transfer (automatic),19.65,655.85,female,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,899.5049537964519,1
month-to-month,yes,electronic check,83.25,4949.1,female,0,no,no,both,fiber optic,no,yes,yes,no,no,no,yes,1785.9412190396129,0
two year,no,credit card (automatic),115.05,4895.1,female,0,no,no,both,fiber optic,yes,yes,yes,yes,yes,yes,yes,1296.8690816683793,0
month-to-month,no,bank transfer (automatic),100.55,2878.75,female,0,no,no,both,fiber optic,no,no,yes,no,yes,yes,yes,868.3682690564492,0
two year,yes,electronic check,99.15,7422.1,male,0,yes,no,both,fiber optic,yes,yes,yes,no,no,yes,yes,2177.002285357359,0
month-to-month,no,electronic check,80.5,80.5,male,0,no,no,both,fiber optic,no,no,no,no,no,yes,no,16.606337299350585,1
two year,no,credit card (automatic),19.65,1008.7,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,1631.509245979892,0
month-to-month,no,mailed check,70.7,129.2,male,0,no,no,both,fiber optic,no,no,no,no,no,no,no,47.2217668077582,0
month-to-month,yes,mailed check,20.5,77.6,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,108.54251374016398,0
month-to-month,yes,electronic check,80.7,239.45,female,0,yes,yes,both,fiber optic,no,no,no,no,yes,no,no,77.97537126763339,0
month-to-month,yes,bank transfer (automatic),19.8,196.75,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,292.2966026684667,0
month-to-month,yes,electronic check,69.35,712.25,male,0,no,no,both,dsl,no,no,yes,no,yes,yes,no,323.24179938316547,0
month-to-month,yes,electronic check,79.9,324.3,male,0,no,no,both,fiber optic,no,no,no,no,no,yes,no,109.55971212244508,1
month-to-month,yes,mailed check,19.1,53.05,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,79.22048048157671,0
two year,yes,bank transfer (automatic),75.1,5336.35,male,0,no,no,both,dsl,yes,yes,yes,yes,yes,no,no,2177.031024791654,0
month-to-month,yes,mailed check,19.3,19.3,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,16.21912814441528,1
one year,yes,bank transfer (automatic),94.0,5757.2,female,0,no,no,both,fiber optic,no,no,no,no,yes,yes,yes,1873.255053006214,0
two year,yes,bank transfer (automatic),98.2,7015.9,female,0,yes,no,both,fiber optic,yes,no,yes,yes,yes,no,yes,2177.001840095922,0
month-to-month,yes,electronic check,82.0,1127.2,female,1,no,no,both,fiber optic,no,no,no,no,no,yes,yes,383.5069652974805,1
two year,no,mailed check,25.35,1715.15,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,yes,2119.744735607963,0
month-to-month,yes,credit card (automatic),100.85,4740.0,male,0,no,no,both,fiber optic,no,yes,no,no,yes,yes,yes,1354.579389862273,1
one year,yes,bank transfer (automatic),75.8,5293.95,male,0,yes,yes,both,dsl,no,yes,yes,yes,no,yes,yes,2056.5596075195635,1
month-to-month,yes,electronic check,69.65,69.65,female,1,no,no,both,fiber optic,no,no,no,no,no,no,no,15.643406830598273,1
month-to-month,yes,mailed check,45.3,45.3,female,0,no,no,both,dsl,no,no,no,no,no,no,no,16.085390836978963,1
month-to-month,yes,electronic check,85.95,1215.65,female,0,no,no,both,fiber optic,no,no,no,no,no,yes,yes,382.82860331628603,0
month-to-month,no,electronic check,78.45,78.45,female,1,no,no,both,fiber optic,no,no,no,no,yes,no,no,15.64532094613406,1
two year,yes,credit card (automatic),80.7,5676.0,female,1,yes,no,both,fiber optic,yes,no,no,no,no,no,yes,2148.030794210373,0
month-to-month,no,electronic check,80.45,3398.9,female,0,yes,no,both,fiber optic,no,yes,no,no,no,no,yes,1295.0207272264895,0
month-to-month,no,electronic check,93.9,5029.2,male,0,yes,no,both,fiber optic,yes,no,yes,no,no,yes,yes,1600.8432112888186,1
month-to-month,no,bank transfer (automatic),20.0,49.65,male,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,77.34906607079664,0
month-to-month,yes,mailed check,25.65,440.2,male,0,no,no,internet,dsl,no,no,no,no,no,no,nan,503.0950354908371,0
one year,yes,bank transfer (automatic),111.8,5809.75,female,0,yes,no,both,fiber optic,no,yes,yes,yes,yes,yes,yes,1601.022845843653,0
month-to-month,yes,electronic check,73.5,791.75,male,0,no,no,both,fiber optic,yes,no,no,no,no,no,no,319.5445329551553,1
month-to-month,yes,electronic check,66.65,520.95,male,0,no,no,both,dsl,no,yes,no,yes,yes,no,no,231.2854111380614,0
two year,yes,electronic check,109.9,7624.2,female,0,no,no,both,fiber optic,yes,yes,yes,yes,yes,yes,no,2177.8667930517627,0
month-to-month,no,bank transfer (automatic),61.4,1864.65,female,0,yes,yes,both,dsl,yes,yes,no,yes,no,no,no,962.7102331587171,0
two year,no,credit card (automatic),70.9,4677.1,male,0,yes,no,both,dsl,yes,yes,yes,yes,no,no,yes,2027.9409599939927,0
one year,no,mailed check,19.8,344.5,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,565.1701708946879,0
month-to-month,yes,electronic check,55.3,108.65,male,0,no,yes,both,dsl,no,no,no,no,no,yes,no,48.0845315821682,0
month-to-month,yes,mailed check,55.3,238.5,male,0,no,no,both,dsl,no,no,no,no,no,yes,no,108.81346776934603,0
month-to-month,yes,electronic check,77.15,77.15,female,0,no,no,both,fiber optic,no,no,no,no,no,no,yes,15.748225178911472,1
one year,no,credit card (automatic),19.8,576.65,male,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,900.6311920598608,0
two year,yes,credit card (automatic),64.05,3886.85,male,1,yes,no,internet,dsl,yes,no,yes,yes,yes,yes,nan,1785.7135988916798,0
two year,no,bank transfer (automatic),50.55,3260.1,male,0,no,no,both,dsl,no,no,no,yes,no,no,no,2027.7484160160327,0
two year,no,credit card (automatic),24.85,1871.85,female,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,2177.4831921679397,0
two year,yes,electronic check,94.8,4690.65,male,0,yes,no,both,fiber optic,no,yes,no,no,yes,yes,no,1478.0778778730783,0
month-to-month,yes,electronic check,55.3,196.15,female,0,no,no,both,dsl,no,no,no,no,no,yes,no,77.71495763526421,1
month-to-month,yes,credit card (automatic),109.4,7227.45,female,1,yes,no,both,fiber optic,yes,yes,yes,no,yes,yes,yes,1965.1340834102773,0
month-to-month,yes,electronic check,105.5,2686.05,male,0,no,no,both,fiber optic,yes,no,yes,yes,yes,yes,no,746.0091429743073,0
month-to-month,yes,electronic check,93.55,2264.05,female,1,yes,no,both,fiber optic,no,no,no,no,yes,yes,yes,715.6890907881482,1
one year,no,bank transfer (automatic),92.9,2768.35,male,0,yes,yes,both,fiber optic,no,yes,yes,yes,yes,no,no,839.6168076790962,0
one year,no,electronic check,81.7,2212.55,male,0,no,no,both,dsl,yes,no,yes,yes,yes,yes,no,809.9299350932994,0
two year,no,electronic check,108.9,2809.05,female,0,no,no,both,fiber optic,no,yes,yes,yes,yes,yes,yes,746.5619652519388,0
month-to-month,yes,electronic check,89.35,567.8,female,1,no,no,both,fiber optic,no,no,no,no,yes,yes,no,171.9631103051806,0
two year,yes,mailed check,24.8,1024.7,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,yes,1205.6510501077105,0
month-to-month,no,mailed check,19.7,111.65,male,0,no,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,170.15023735753445,0
month-to-month,yes,electronic check,53.95,2215.4,male,1,yes,no,internet,dsl,no,yes,yes,no,yes,yes,nan,1235.4676425867158,0
month-to-month,yes,bank transfer (automatic),75.3,75.3,female,1,no,no,both,fiber optic,no,no,yes,no,no,no,no,17.712367329321296,1
one year,yes,electronic check,106.8,5347.95,female,1,no,no,both,fiber optic,no,yes,no,yes,yes,yes,yes,1509.3726615917465,0
one year,yes,electronic check,85.05,3355.65,male,0,yes,yes,both,fiber optic,no,no,yes,no,yes,no,no,1204.0866167176025,0
month-to-month,yes,bank transfer (automatic),66.15,2522.4,female,0,no,no,both,dsl,yes,yes,yes,no,no,no,yes,1142.0033603239003,0
month-to-month,yes,electronic check,105.0,294.45,male,1,no,no,both,fiber optic,no,yes,yes,no,yes,yes,yes,78.65722356542717,1
month-to-month,no,credit card (automatic),96.6,2684.35,male,0,yes,no,both,fiber optic,no,yes,yes,no,yes,no,yes,838.0111932166927,0
two year,no,mailed check,20.25,1048.45,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,1600.9740597941798,0
month-to-month,yes,bank transfer (automatic),89.55,185.55,male,0,yes,yes,both,fiber optic,no,no,no,no,yes,yes,no,48.87108784286298,1
month-to-month,no,electronic check,91.7,91.7,female,0,no,no,both,fiber optic,no,yes,no,yes,yes,no,no,17.807393462927152,1
month-to-month,yes,electronic check,55.6,580.8,female,1,no,no,both,dsl,yes,no,no,no,no,no,yes,324.9339715323364,0
one year,no,credit card (automatic),70.9,1964.6,male,0,no,no,both,dsl,no,yes,yes,no,no,yes,yes,870.0900647812614,0
month-to-month,yes,bank transfer (automatic),99.1,6496.15,male,1,no,no,both,fiber optic,no,yes,yes,no,yes,yes,no,1966.5564739455842,0
month-to-month,yes,electronic check,70.25,229.7,female,0,no,no,both,fiber optic,no,no,no,no,no,no,no,79.39698418621325,0
month-to-month,no,bank transfer (automatic),61.75,3024.15,female,0,yes,yes,both,dsl,yes,no,yes,yes,no,no,no,1478.2569850225102,0
month-to-month,yes,mailed check,48.8,1536.75,female,0,no,no,both,dsl,yes,no,no,no,no,no,no,901.1311037606715,0
one year,yes,electronic check,94.05,5483.9,female,1,yes,no,both,fiber optic,yes,yes,yes,yes,no,no,yes,1784.9994012276943,0
two year,no,bank transfer (automatic),109.75,6110.2,male,0,yes,no,both,fiber optic,yes,yes,yes,yes,yes,yes,no,1631.096170226199,1
month-to-month,no,mailed check,20.45,781.25,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1143.4973125186664,0
month-to-month,no,electronic check,75.3,720.45,male,1,yes,no,both,fiber optic,yes,no,no,no,no,no,no,291.54816432628826,0
month-to-month,no,mailed check,34.0,442.45,male,0,no,no,internet,dsl,no,yes,no,yes,no,no,nan,350.39867855486966,0
month-to-month,no,mailed check,19.85,51.6,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,49.607203568740786,0
one year,yes,mailed check,20.05,417.0,female,1,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,657.6049787130144,0
two year,yes,electronic check,113.65,7714.65,female,1,yes,no,both,fiber optic,yes,yes,yes,yes,yes,yes,yes,2118.953043790825,0
month-to-month,no,credit card (automatic),51.05,2066.0,female,0,yes,yes,both,dsl,yes,no,no,no,no,no,no,1174.2327573657824,0
month-to-month,yes,bank transfer (automatic),19.5,413.0,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,595.2370921460544,0
two year,no,credit card (automatic),75.55,4707.85,female,0,yes,yes,both,dsl,yes,yes,yes,yes,yes,no,no,1905.0233322339404,0
month-to-month,no,electronic check,80.75,159.45,female,0,no,no,both,fiber optic,no,no,no,no,no,yes,no,47.865635140302054,1
month-to-month,yes,bank transfer (automatic),55.3,1530.6,female,0,no,no,both,dsl,yes,yes,no,no,no,no,no,899.8441236655539,0
month-to-month,no,electronic check,98.65,2862.75,female,1,no,no,both,fiber optic,no,no,no,yes,yes,yes,yes,869.4374592869933,1
month-to-month,yes,electronic check,104.4,3409.6,female,0,yes,no,both,fiber optic,no,yes,yes,no,yes,yes,yes,990.5207134359533,1
one year,no,mailed check,72.1,2658.4,female,0,yes,no,both,dsl,no,yes,no,yes,no,yes,yes,1113.7500144196686,0
two year,yes,mailed check,69.7,3729.6,male,0,yes,yes,both,dsl,yes,yes,no,yes,yes,no,no,1599.4026693633425,0
month-to-month,yes,electronic check,20.05,299.3,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,413.0621120668292,0
month-to-month,yes,bank transfer (automatic),59.95,1406.0,male,0,yes,no,both,dsl,yes,no,no,no,no,yes,no,687.9881361908016,0
month-to-month,yes,electronic check,90.8,455.5,female,0,no,no,both,fiber optic,no,yes,no,no,yes,no,yes,140.155515361352,1
month-to-month,yes,electronic check,84.3,1308.4,female,0,yes,no,both,fiber optic,no,no,yes,no,yes,no,no,444.6754800600197,1
month-to-month,no,mailed check,49.2,447.9,male,1,no,no,both,dsl,no,no,no,yes,no,no,no,263.23466180391415,0
month-to-month,yes,electronic check,74.75,706.6,female,0,no,no,both,fiber optic,no,no,no,no,no,no,yes,261.6526920327274,1
two year,no,mailed check,19.75,483.15,male,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,716.879000471787,0
month-to-month,yes,credit card (automatic),95.0,2852.4,male,0,no,no,both,fiber optic,yes,yes,yes,yes,no,no,yes,900.3319271744025,0
month-to-month,no,mailed check,20.4,266.6,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,351.87931606474126,0
two year,yes,electronic check,113.6,6292.7,male,1,yes,no,both,fiber optic,no,yes,yes,yes,yes,yes,yes,1661.422964672457,0
month-to-month,yes,credit card (automatic),51.3,411.6,male,0,yes,yes,both,dsl,yes,no,no,no,no,no,no,232.65493797959653,0
month-to-month,no,mailed check,19.35,46.35,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,47.702692251566,0
